run_id,benchmark,benchmark_source,algorithm,gbest_mode,function,function_id,function_name,function_family,dim,agents,iterations,seed,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
5,cec2022,opfunu,WO_base,legacy,F6,6,Hybrid Function 1,hybrid,10,30,500,5239,3285804060.979137,66240.13538471244,1800.0,64440.13538471244,75.4709465821 -56.3767862529 98.3081152143 76.4406204306 45.8118273265 3.50490454192 -65.8415128697 -62.0603481037 -62.9861549145 96.1090200979,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F6_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F7,7,Hybrid Function 2,hybrid,10,30,500,5240,5568.9804076116,2028.2854289913773,2000.0,28.28542899137733,-29.5223290602 -56.7105447886 -35.9984050697 36.2650486104 50.9456274812 -95.7800075395 20.1836814447 15.2178221302 40.0400471379 -8.96405398174,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F7_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F8,8,Hybrid Function 3,hybrid,10,30,500,5241,1450078065420.0503,3390.5899129650784,2200.0,1190.5899129650784,-27.1206799258 53.9774707446 94.1270796369 -52.4213274999 10.038734587 29.3510800256 -90.0641375847 -2.2935078099 40.4601601418 80.1531042245,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F8_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F9,9,Composition Function 1,composition,10,30,500,5242,3103.1099669789755,2300.5660804399186,2300.0,0.5660804399185508,52.9442985051 -2.48180241561 -3.08565530999 -63.6747209133 44.5407314035 59.4755699522 18.8778201763 -61.6112190891 -36.6629951735 28.231432027,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F9_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F10,10,Composition Function 2,composition,10,30,500,5243,4522.964445203981,2024.7231544543301,2400.0,-375.27684554566986,-14.6027135086 -38.6223839118 -70.1364240657 45.5747901383 -64.2599696814 5.57037538613 24.3402872083 -9.56761356462 68.9345083713 31.2616422698,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F10_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F11,11,Composition Function 3,composition,10,30,500,5244,3189.4503456326643,2600.1256393429007,2600.0,0.1256393429007403,49.125576013 7.47054676733 -32.7916202151 5.15204095592 70.6261955863 45.0106158439 29.4528847728 12.58808381 16.8778374647 -56.4472865759,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F11_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F12,12,Composition Function 4,composition,10,30,500,5245,3479.7611474939886,2856.221839801736,2700.0,156.22183980173622,-98.8853201423 -93.7106326666 -99.9201519785 -30.3438280118 89.9827661934 -9.24155128615 87.6512997242 72.839289618 -99.9752728684 80.9122071151,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F12_run5.csv,completed
6,cec2022,opfunu,WO_base,legacy,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,6234,40782.625996509465,300.30848172045035,300.0,0.30848172045034516,-55.7792428565 4.64161941064 35.4229654225 8.3894182369 -47.4795913756 7.0864771516 6.52114529256 -2.7036374502 -61.3454798008 -47.0892178453,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F1_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,6235,3114.8095613752603,451.2141067609591,400.0,51.21410676095911,43.571104264 20.0090832445 -100 99.956389734 0.764108706698 6.12789547416 100 70.4653840587 -31.944710339 49.7004061168,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F2_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,6236,601.3243181884096,600.0000013038609,600.0,1.303860926782363e-06,79.1182362675 -24.534363589 -34.6929994427 -44.699253334 76.0168336327 16.437656712 -21.7672700673 5.53905431596 64.9925362915 51.2206327129,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F3_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,6237,999.9443922873221,873.1320000010159,800.0,73.13200000101585,-11.6015511423 -0.6022669227 -3.47595035506 7.39122409481 -4.38962725202 -2.63730306758 -2.08769171587 5.49648437691 8.62459021858 -18.6817998003,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F4_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,6238,909.6472644117276,900.0002522376047,900.0,0.0002522376047409125,-24.4253355686 0.78128413026 22.261387879 51.9450452478 -18.6321870339 -12.2997402217 16.5096431659 -3.53834581046 -51.1208801442 42.8990313422,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F5_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F6,6,Hybrid Function 1,hybrid,10,30,500,6239,969625287.9136802,44826.81638737893,1800.0,43026.81638737893,30.0857956081 99.5513077494 98.7491921527 -55.6768408572 -36.4105166797 -46.1106807219 -62.7673503478 -91.3633438756 -59.9385045205 88.0053071495,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F6_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F7,7,Hybrid Function 2,hybrid,10,30,500,6240,6018.5742630191,2102.5129014795816,2000.0,102.51290147958161,-13.9850610771 -57.731210476 -44.9142026315 -3.58806574144 -98.3128972409 -15.7292909084 73.6973229978 13.1750423166 56.8843515136 -39.7113830459,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F7_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F8,8,Hybrid Function 3,hybrid,10,30,500,6241,68493864045482.07,2251.89971422487,2200.0,51.89971422486997,11.5403648983 -44.0863420393 -8.53310813074 29.1536396293 53.7068516599 25.8381542186 -26.1006536819 47.253904815 39.172903586 46.4525152004,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F8_run6.csv,completed
6,cec2022,opfunu,WO_base,legacy,F9,9,Composition Function 1,composition,10,30,500,6242,4944.458724462742,2669.67305329265,2300.0,369.6730532926499,48.4504033792 -99.994841768 -99.9750559884 -93.9248381036 17.0686713034 99.9330480539 96.0991487618 -40.4269714347 -77.0049940883 54.1563114834,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F9_run6.csv,completed
