iteration,event_id,alpha,beta,danger_signal,safety_signal,diversity,diversity_norm,current_fitness,output_fitness,stagnation,stagnation_length,diagnosis,s_t,delta_fitness,threshold,stagnation_state,event_active,control_mode,action_taken,action_justification,alpha_scale,beta_scale,rescue_fraction,rescue_mode,rescued_agents,shap_requested,shap_reason,decision_shap_used,decision_dominant_feature,decision_harmful_feature,decision_harmful_value,decision_harmful_mass,decision_policy,dominant_feature,trace_role,effect_label,delta_fitness_post
50,0,0.9,0.9820137900379085,1.7493348888713207,0.7209255569889897,105.60696884057124,0.6046912536846758,10866.793783344347,10866.793783344347,0,8,no_stagnation,8,4711008.476934818,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
51,0,0.898,0.9816571093022567,-0.07126511831415294,0.10382002040356808,107.1892539477573,0.6137512047054776,10785.69620132505,10785.69620132505,0,0,no_stagnation,0,15537.220545171052,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
52,0,0.896,0.9812934900456454,1.399007303643909,0.2918218507395963,135.42751402898978,0.7754396716490957,10785.69620132505,10785.69620132505,0,1,no_stagnation,1,14683.516938554103,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
53,0,0.894,0.9809228026847419,-0.24552457483074858,0.8068538601027812,135.36050471335838,0.7750559853495782,10785.69620132505,10785.69620132505,0,2,no_stagnation,2,14683.516938554103,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
54,0,0.892,0.980544915431807,-1.4975016449286682,0.9127846277854442,119.10923790850133,0.6820034244619684,10785.69620132505,10785.69620132505,0,3,no_stagnation,3,14683.516938554103,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
55,0,0.89,0.9801596942659225,0.3426144707380714,0.9276912803947205,159.92319602440426,0.9156986414717183,10785.69620132505,10785.69620132505,0,4,no_stagnation,4,2228.3696892706866,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
56,0,0.888,0.9797670029042146,0.8282728091334614,0.7748172636298606,112.05977309888746,0.6416391401696444,10785.69620132505,10785.69620132505,0,5,no_stagnation,5,2228.3696892706866,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
57,0,0.886,0.9793667027730938,0.5445800609673646,0.47353448323758907,110.73829595069788,0.6340725403303787,10785.69620132505,10785.69620132505,0,6,no_stagnation,6,2228.3696892706866,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
58,0,0.884,0.9789586529795318,-1.3231046066026022,0.743891533060521,61.11611375936913,0.34994262078745103,10785.69620132505,10785.69620132505,0,7,no_stagnation,7,2228.3696892706866,0.01078569620132505,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
59,0,0.882,0.9785427102823965,-0.26364859470763424,0.5058545330599075,63.088991745784924,0.3612390539307377,10744.44285939322,10744.44285939322,0,0,no_stagnation,0,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
60,0,0.88,0.9781187290638695,1.512154655287716,0.47327528746287784,106.3284700987979,0.6088224725347384,10744.44285939322,10744.44285939322,0,1,no_stagnation,1,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
61,0,0.878,0.9776865613009678,-0.02952888766925463,0.8127453818644198,106.5484558077871,0.6100820810210137,10744.44285939322,10744.44285939322,0,2,no_stagnation,2,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
62,0,0.876,0.977246056537196,0.4537057571955749,0.9576836753181696,106.24196388798681,0.6083271496442023,10744.44285939322,10744.44285939322,0,3,no_stagnation,3,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
63,0,0.874,0.9767970618543559,-0.9122941893286004,0.5042704836425738,104.41949479569344,0.5978919375334928,10744.44285939322,10744.44285939322,0,4,no_stagnation,4,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
64,0,0.872,0.9763394218445388,1.2976752139180021,0.33001408730088044,104.46533237576865,0.5981543973319877,10744.44285939322,10744.44285939322,0,5,no_stagnation,5,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
65,0,0.87,0.9758729785823308,0.834783695330122,0.9229189513302137,111.80752354639529,0.6401947932689379,10744.44285939322,10744.44285939322,0,6,no_stagnation,6,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
66,0,0.868,0.9753975715972606,-0.104300431862811,0.5609276121883034,112.04442977766097,0.6415512863826265,10744.44285939322,10744.44285939322,0,7,no_stagnation,7,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
67,0,0.866,0.9749130378465202,-0.9632619944649184,0.3784870150383677,107.21258623747093,0.6138848022480752,10744.44285939322,10744.44285939322,0,8,no_stagnation,8,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
68,0,0.864,0.9744192116879923,-0.6023597897469554,0.05772547856671717,117.56204607021864,0.6731444127636568,10744.44285939322,10744.44285939322,0,9,no_stagnation,9,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
69,0,0.862,0.9739159248536171,1.702226132767355,0.48067891339183977,64.64917676871355,0.3701724628511187,10744.44285939322,10744.44285939322,0,10,no_stagnation,10,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
70,0,0.86,0.9734030064231342,0.8111489018880496,0.716327036046465,64.61773691681199,0.3699924425014133,10744.44285939322,10744.44285939322,0,11,no_stagnation,11,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
71,0,0.858,0.972880282798237,0.983256190566311,0.9991182510926957,106.8532067240667,0.6118270436465849,10744.44285939322,10744.44285939322,0,12,no_stagnation,12,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
72,0,0.856,0.9723475776771768,-0.993606067813359,0.0636919767211167,106.70103079865035,0.6109557048312503,10744.44285939322,10744.44285939322,0,13,no_stagnation,13,2269.6230312025164,0.01074444285939322,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
