run_id,benchmark,benchmark_source,algorithm,function,function_id,function_name,function_family,dim,agents,iterations,seed,elapsed_seconds,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
7,cec2022,opfunu,WO_base,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,7236,2.6378356000059284,600.7473676507733,600.0000000214425,600.0,2.1442474462674e-08,79.08719555 -24.5743939206 -34.6729020639 -44.6708515969 75.9931202702 16.3597651576 -21.7389456466 5.64480500171 64.9928494707 51.2653987121,all_functions_outputs_30runs\values\conv_curve_F3_run7.csv,completed
7,cec2022,opfunu,WO_base,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,7237,3.6129862999951,1008.646955605817,856.0,800.0,56.0,-3.62526134158 -5.34515616908 -10.8719984958 -28.2744330261 8.15823488776 -3.26412642419 -7.72401329657 -4.78241897398 -4.91505590044 -33.2955047635,all_functions_outputs_30runs\values\conv_curve_F4_run7.csv,completed
7,cec2022,opfunu,WO_base,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,7238,1.2271286999894073,912.4116733731922,900.4543441740379,900.0,0.45434417403794214,-33.0986457134 27.24953567 24.374811935 40.6118901014 -8.18636429674 -23.5964556126 29.8026144759 22.7060887514 -24.5818497272 41.4686467708,all_functions_outputs_30runs\values\conv_curve_F5_run7.csv,completed
7,cec2022,opfunu,WO_base,F6,6,Hybrid Function 1,hybrid,10,30,500,7239,2.4431047000107355,214174885.04342484,75366.72457459243,1800.0,73566.72457459243,-98.8740152478 7.5419594513 79.2759636741 11.0061039286 6.62618366672 99.7424954583 -64.3750738056 -0.880539168871 -61.5337997472 77.0000840756,all_functions_outputs_30runs\values\conv_curve_F6_run7.csv,completed
7,cec2022,opfunu,WO_base,F7,7,Hybrid Function 2,hybrid,10,30,500,7240,10.67049560000305,7774.331049475438,2027.999158787348,2000.0,27.99915878734805,-12.7329078999 -56.7805671771 -25.9402373573 99.9750931896 2.90019980446 -14.1662728309 -74.831949122 15.3338637907 99.8160698898 -36.4814885662,all_functions_outputs_30runs\values\conv_curve_F7_run7.csv,completed
7,cec2022,opfunu,WO_base,F8,8,Hybrid Function 3,hybrid,10,30,500,7241,16.145815500000026,67190850517.58988,3113.8668933494682,2200.0,913.8668933494682,27.674399063 -58.3145403382 -91.9850482631 49.3818268961 16.8152741874 65.333779763 43.336994431 66.9050380565 39.5115009029 75.0346420773,all_functions_outputs_30runs\values\conv_curve_F8_run7.csv,completed
7,cec2022,opfunu,WO_base,F9,9,Composition Function 1,composition,10,30,500,7242,4.2913718999916455,4209.436269626679,2675.0701346372675,2300.0,375.07013463726753,49.9103463949 -99.9989431914 -99.998457878 -98.2684676211 11.8515916334 80.3021977811 96.2590381308 -47.1908056203 -57.4437880302 80.7833926343,all_functions_outputs_30runs\values\conv_curve_F9_run7.csv,completed
7,cec2022,opfunu,WO_base,F10,10,Composition Function 2,composition,10,30,500,7243,4.653437999993912,4832.218434135353,2720.8365635203054,2400.0,320.8365635203054,-0.20783383456 -2.72074168247 1.1816380116 87.3954558399 18.4333768644 -29.8924350013 35.7364309319 30.458522127 9.89854012539 44.0584746454,all_functions_outputs_30runs\values\conv_curve_F10_run7.csv,completed
7,cec2022,opfunu,WO_base,F11,11,Composition Function 3,composition,10,30,500,7244,6.773971000002348,4255.173882899894,2600.0290899799093,2600.0,0.029089979909258545,49.1725792551 7.41743571723 -32.7659673526 4.98216530927 70.6069410888 45.0215714618 29.4223455604 12.6863916191 16.7891033265 -56.3564316654,all_functions_outputs_30runs\values\conv_curve_F11_run7.csv,completed
7,cec2022,opfunu,WO_base,F12,12,Composition Function 4,composition,10,30,500,7245,8.191172699996969,3454.928100360675,2866.1091340358153,2700.0,166.10913403581526,-99.9350452153 -99.9998826428 -93.0428594462 -53.667193676 99.9996366374 -39.8092903859 99.8633943987 63.9913517678 -99.9985494039 96.6161150076,all_functions_outputs_30runs\values\conv_curve_F12_run7.csv,completed
8,cec2022,opfunu,WO_base,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,8234,1.355236599993077,20097.902437989324,300.00348002384635,300.0,0.0034800238463503774,-55.9669354287 4.5806456524 35.2920031285 8.28716721199 -47.4575441785 7.28061614329 6.39383538852 -2.49391012481 -61.0446018635 -47.1431695963,all_functions_outputs_30runs\values\conv_curve_F1_run8.csv,completed
